country_id,Area (km²)
5666,652230
2885,28748
9623,2381741
9242,199
7937,468
7736,1246700
3486,91
2443,442
8985,2780400
1262,29743
4973,180
2550,7692024
1066,83871
5338,86600
2027,13943
8750,765
4849,147570
7628,430
9408,207600
5619,30528
2938,22966
8723,112622
4451,54
2159,38394
8258,1098581
5061,51209
5367,582000
3632,8515767
5901,151
4024,5765
2503,110879
3130,272967
5786,27834
5007,181035
4116,475442
6300,9984670
3837,4033
1604,264
7935,622984
4262,1284000
1108,756102
1276,9706961
7790,1141748
9708,1862
1028,236
3472,51100
7354,56594
9548,109884
9523,9251
4315,43094
3385,23200
3058,751
3920,48671
3817,276841
1586,1002450
8431,21041
3257,28051
4641,117600
3056,45227
8226,17364
2845,1104300
5985,12173
1051,1393
6610,18272
2058,338424
6807,551695
4466,83534
9799,4167
9094,267668
5108,10689
5472,69700
8188,357114
5525,238533
5440,6
9079,131990
3113,2166086
3073,344
7857,1628
3647,549
2986,108889
1352,245857
9669,36125
4582,214969
9291,27750
4057,112492
8115,1104
5389,93028
7564,103000
7710,3287590
4101,1904569
2266,1648195
2345,438317
7752,70273
4416,572
1569,20770
7442,301336
6758,10991
2273,377930
9650,89342
6173,2724900
9491,580367
5582,811
8891,17818
7505,199951
3809,236800
7480,64559
4220,10452
7246,30355
7961,111369
4384,1759540
4851,160
7179,65300
1097,2586
4109,587041
3771,118484
7797,330803
5517,300
8842,1240192
4123,316
5592,181
7568,1128
4818,1030700
5295,2040
3205,374
8394,1964375
8754,702
6711,33846
7498,2
6222,1564110
2420,13812
5315,102
2586,446550
9919,801590
6433,676578
6504,825615
6571,21
3375,147181
9808,41850
3526,18575
8029,270467
1602,130373
8764,1267000
5248,923768
1728,260
5075,120538
9492,25713
7959,464
8547,323802
8871,309500
1349,881912
7129,459
4353,75417
6688,462840
9950,406752
5560,1285216
5789,342353
9224,312679
4774,92090
5982,8870
2212,11586
6348,238391
9786,17098242
5364,26338
8293,21
7280,616
5272,53
5753,2842
5602,61
1392,2149690
3941,196722
3394,88361
3555,452
1897,71740
4553,710
4727,34
6534,49037
7244,20273
6999,28896
3446,637657
2634,1221037
5016,100210
1358,619745
9563,505992
9344,65610
4073,1886068
6207,163820
1995,450295
9872,41284
1038,185180
2791,36193
3781,143100
8155,945087
7164,513120
2611,14874
6570,56785
4036,12
5501,747
1331,5130
8913,163610
7561,783562
1805,488100
4691,26
2952,241550
7536,603500
1189,83600
8239,242900
8743,9372610
6780,181034
9973,447400
4202,12189
8253,916445
4342,331212
8490,266000
9772,527968
7832,752612
8513,390757
