country_id,Capital
2050,Kabul
5181,Tirana
4586,Algiers
9350,Pago Pago
9230,Andorra la Vella
9448,Luanda
5604,The Valley
8745,Saint John’s
5231,Buenos Aires
1972,Yerevan
8217,Oranjestad
7859,Canberra
5484,Vienna
2557,Baku
3976,Nassau
5160,Manama
3421,Dhaka
8963,Bridgetown
4288,Minsk
2934,Brussels
1945,Belmopan
5854,Porto-Novo
5017,Hamilton
5833,Thimphu
8863,Sucre
2086,Sarajevo
6025,Gaborone
5643,Brasilia
8750,Road Town
1038,Bandar Seri Begawan
4114,Sofia
3270,Ouagadougou
5785,Bujumbura
1475,Phnom Penh
2910,Yaounde
4227,Ottawa
5564,Praia
1710,George Town
1420,Bangui
9053,N'Djamena
8151,Santiago
4783,Beijing
8433,Bogota
2225,Moroni
1998,Avarua
5481,San José
9225,Zagreb
5830,Havana
5520,Nicosia
9936,Copenhagen
8382,Djibouti
1484,Roseau
4632,Santo Domingo
8990,Quito
5730,Cairo
8331,San Salvador
5493,Malabo
1933,Asmara
4556,Tallinn
2855,Mbabane
1077,Addis Ababa
1812,Stanley
8902,Tórshavn
2666,Suva
8325,Helsinki
2491,Paris
6137,Cayenne
1540,Papeete
9323,Libreville
1968,Banjul
6192,Tbilisi
2447,Berlin
1680,Accra
5059,Gibraltar
7791,Athens
9550,Nuuk
1866,Saint George's
1376,Basse-Terre
8106,Hagåtña
8657,Guatemala City
9599,Conakry
5294,Bissau
2843,Georgetown
6415,Port-au-Prince
1086,Tegucigalpa
7703,Hong Kong
9064,Budapest
7843,Reykjavík
7159,New Delhi
3993,Jakarta
7987,Tehran
3959,Baghdad
7100,Dublin
3808,Douglas
9089,Jerusalem
5288,Rome
6674,Kingston
6552,Tokyo
4363,Amman
4450,Nursultan
3754,Nairobi
5939,Tarawa
5927,Kuwait City
8847,Bishkek
1313,Vientiane
3111,Riga
1899,Beirut
1612,Maseru
9882,Monrovia
9669,Tripoli
3125,Vaduz
9898,Vilnius
7830,Luxembourg
3497,Antananarivo
3592,Lilongwe
6262,Kuala Lumpur
2701,Malé
4228,Bamako
3964,Valletta
8099,Majuro
6596,Fort-de-France
2777,Nouakchott
2792,Port Louis
6400,Mamoudzou
9800,Mexico City
8489,Palikir
1367,Chisinau
2641,Monaco
9877,Ulaanbaatar
1357,Podgorica
6446,Brades
3324,Rabat
9850,Maputo
7797,Nay Pyi Taw
2703,Windhoek
9288,Yaren
3315,Kathmandu
7531,Amsterdam
5635,Nouméa
1811,Wellington
6130,Managua
1507,Niamey
4777,Abuja
7875,Alofi
4718,Pyongyang
6127,Skopje
1019,Saipan
4283,Oslo
2939,Muscat
5946,Islamabad
7978,Ngerulmud
2232,Panama City
6499,Port Moresby
8530,Asunción
2693,Lima
1477,Manila
7322,Warsaw
4885,Lisbon
7373,San Juan
3352,Doha
6771,Bucharest
6070,Moscow
7426,Kigali
9065,Gustavia
9260,Castries
7092,Marigot
3283,Apia
6251,San Marino
7391,Riyadh
5951,Dakar
1245,Belgrade
3813,Victoria
2946,Freetown
7069,Singapore
9088,Philipsburg
3625,Bratislava
5516,Ljubljana
9888,Honiara
6544,Mogadishu
6951,Pretoria
7514,Seoul
1955,Juba
7526,Madrid
7632,Colombo
4452,Khartoum
9954,Paramaribo
9171,Stockholm
9995,Bern
9598,Damascus
1623,Taipei
8108,Dushanbe
5605,Dodoma
3514,Bangkok
8258,Dili
3763,Lomé
4810,Nukunonu
7376,Nuku‘alofa
4402,Port-of-Spain
2097,Tunis
3095,Ankara
6898,Ashgabat
6928,Funafuti
3793,Kampala
8670,Kiev
3348,Abu Dhabi
8898,London
8163,"Washington, D.C."
8338,Montevideo
7220,Tashkent
9145,Port-Vila
4005,Caracas
6369,Hanoi
7483,El Aaiún
7872,Sanaa
9480,Lusaka
2658,Harare
