country_id,Country
1,"Afghanistan, Islamic Rep. of"
2,Albania
3,Algeria
4,American Samoa
5,"Andorra, Principality of"
6,Angola
7,Anguilla
8,Antigua and Barbuda
9,Argentina
10,"Armenia, Rep. of"
11,"Aruba, Kingdom of the Netherlands"
12,Australia
13,Austria
14,"Azerbaijan, Rep. of"
15,"Bahamas, The"
16,"Bahrain, Kingdom of"
17,Bangladesh
18,Barbados
19,"Belarus, Rep. of"
20,Belgium
21,Belize
22,Benin
23,Bhutan
24,Bolivia
25,Bosnia and Herzegovina
26,Botswana
27,Brazil
28,British Virgin Islands
29,Brunei Darussalam
30,Bulgaria
31,Burkina Faso
32,Burundi
33,Cabo Verde
34,Cambodia
35,Cameroon
36,Canada
37,Cayman Islands
38,Central African Rep.
39,Chad
40,Chile
41,"China, P.R.: Hong Kong"
42,"China, P.R.: Macao"
43,"China, P.R.: Mainland"
44,Colombia
45,"Comoros, Union of the"
46,"Congo, Dem. Rep. of the"
47,"Congo, Rep. of"
48,Cook Islands
49,Costa Rica
50,"Croatia, Rep. of"
51,Cuba
52,Cyprus
53,Czech Rep.
54,Denmark
55,Djibouti
56,Dominica
57,Dominican Rep.
58,Ecuador
59,"Egypt, Arab Rep. of"
60,El Salvador
61,"Equatorial Guinea, Rep. of"
62,"Eritrea, The State of"
63,"Estonia, Rep. of"
64,"Eswatini, Kingdom of"
65,"Ethiopia, The Federal Dem. Rep. of"
66,Falkland Islands (Malvinas)
67,Faroe Islands
68,"Fiji, Rep. of"
69,Finland
70,France
71,French Polynesia
72,Gabon
73,"Gambia, The"
74,Georgia
75,Germany
76,Ghana
77,Gibraltar
78,Greece
79,Greenland
80,Grenada
81,Guadeloupe
82,Guatemala
83,Guinea
84,Guinea-Bissau
85,Guyana
86,Haiti
87,Holy See
88,Honduras
89,Hungary
90,Iceland
91,India
92,Indonesia
93,"Iran, Islamic Rep. of"
94,Iraq
95,Ireland
96,Isle of Man
97,Israel
98,Italy
99,Jamaica
100,Japan
101,Jordan
102,"Kazakhstan, Rep. of"
103,Kenya
104,Kiribati
105,"Korea, Dem. People's Rep. of"
106,"Korea, Rep. of"
107,Kuwait
108,Kyrgyz Rep.
109,Lao People's Dem. Rep.
110,Latvia
111,Lebanon
112,"Lesotho, Kingdom of"
113,Liberia
114,Libya
115,Liechtenstein
116,Lithuania
117,Luxembourg
118,"Madagascar, Rep. of"
119,Malawi
120,Malaysia
121,Maldives
122,Mali
123,Malta
124,"Marshall Islands, Rep. of the"
125,Martinique
126,"Mauritania, Islamic Rep. of"
127,Mauritius
128,Mayotte
129,Mexico
130,"Micronesia, Federated States of"
131,"Moldova, Rep. of"
132,Monaco
133,Mongolia
134,Montenegro
135,Montserrat
136,Morocco
137,"Mozambique, Rep. of"
138,Myanmar
139,Namibia
140,"Nauru, Rep. of"
141,Nepal
142,"Netherlands, The"
143,New Caledonia
144,New Zealand
145,Nicaragua
146,Niger
147,Nigeria
148,Niue
149,Norfolk Island
150,"North Macedonia, Republic of "
151,Norway
152,Oman
153,Pakistan
154,"Palau, Rep. of"
155,Panama
156,Papua New Guinea
157,Paraguay
158,Peru
159,Philippines
160,Pitcairn Islands
161,"Poland, Rep. of"
162,Portugal
163,Puerto Rico
164,Qatar
165,Romania
166,Russian Federation
167,Rwanda
168,Saint Helena
169,Saint Pierre and Miquelon
170,Samoa
171,"San Marino, Rep. of"
172,"São Tomé and Príncipe, Dem. Rep. of"
173,Saudi Arabia
174,Senegal
175,"Serbia, Rep. of"
176,Seychelles
177,Sierra Leone
178,Singapore
179,Slovak Rep.
180,"Slovenia, Rep. of"
181,Solomon Islands
182,Somalia
183,South Africa
184,"South Sudan, Rep. of"
185,Spain
186,Sri Lanka
187,St. Kitts and Nevis
188,St. Lucia
189,St. Vincent and the Grenadines
190,Sudan
191,Suriname
192,Sweden
193,Switzerland
194,Syrian Arab Rep.
195,Taiwan Province of China
196,"Tajikistan, Rep. of"
197,"Tanzania, United Rep. of"
198,Thailand
199,"Timor-Leste, Dem. Rep. of"
200,Togo
201,Tokelau
202,Tonga
203,Trinidad and Tobago
204,Tunisia
205,Turkmenistan
206,Turks and Caicos Islands
207,Tuvalu
208,Uganda
209,Ukraine
210,United Arab Emirates
211,United Kingdom
212,United States
213,United States Virgin Islands
214,Uruguay
215,"Uzbekistan, Rep. of"
216,Vanuatu
217,"Venezuela, Rep. Bolivariana de"
218,Vietnam
219,Wallis and Futuna Islands
220,West Bank and Gaza
221,Western Sahara
222,World
223,"Yemen, Rep. of"
224,Zambia
225,Zimbabwe
