ISO2,country_id
AF,1
AL,2
DZ,3
AS,4
AD,5
AO,6
AI,7
AG,8
AR,9
AM,10
AW,11
AU,12
AT,13
AZ,14
BS,15
BH,16
BD,17
BB,18
BY,19
BE,20
BZ,21
BJ,22
BT,23
BO,24
BA,25
BW,26
BR,27
VG,28
BN,29
BG,30
BF,31
BI,32
CV,33
KH,34
CM,35
CA,36
KY,37
CF,38
TD,39
CL,40
HK,41
MO,42
CN,43
CO,44
KM,45
CD,46
CG,47
CK,48
CR,49
HR,50
CU,51
CY,52
CZ,53
DK,54
DJ,55
DM,56
DO,57
EC,58
EG,59
SV,60
GQ,61
ER,62
EE,63
SZ,64
ET,65
FK,66
FO,67
FJ,68
FI,69
FR,70
PF,71
GA,72
GM,73
GE,74
DE,75
GH,76
GI,77
GR,78
GL,79
GD,80
GP,81
GT,82
GN,83
GW,84
GY,85
HT,86
VA,87
HN,88
HU,89
IS,90
IN,91
ID,92
IR,93
IQ,94
IE,95
IM,96
IL,97
IT,98
JM,99
JP,100
JO,101
KZ,102
KE,103
KI,104
KP,105
KR,106
KW,107
KG,108
LA,109
LV,110
LB,111
LS,112
LR,113
LY,114
LI,115
LT,116
LU,117
MG,118
MW,119
MY,120
MV,121
ML,122
MT,123
MH,124
MQ,125
MR,126
MU,127
YT,128
MX,129
FM,130
MD,131
MC,132
MN,133
ME,134
MS,135
MA,136
MZ,137
MM,138
,139
NR,140
NP,141
NL,142
NC,143
NZ,144
NI,145
NE,146
NG,147
NU,148
NF,149
MK,150
NO,151
OM,152
PK,153
PW,154
PA,155
PG,156
PY,157
PE,158
PH,159
PN,160
PL,161
PT,162
PR,163
QA,164
RO,165
RU,166
RW,167
SH,168
PM,169
WS,170
SM,171
ST,172
SA,173
SN,174
RS,175
SC,176
SL,177
SG,178
SK,179
SI,180
SB,181
SO,182
ZA,183
SS,184
ES,185
LK,186
KN,187
LC,188
VC,189
SD,190
SR,191
SE,192
CH,193
SY,194
TW,195
TJ,196
TZ,197
TH,198
TL,199
TG,200
TK,201
TO,202
TT,203
TN,204
TM,205
TC,206
TV,207
UG,208
UA,209
AE,210
GB,211
US,212
VI,213
UY,214
UZ,215
VU,216
VE,217
VN,218
WF,219
PS,220
EH,221
,222
YE,223
ZM,224
ZW,225
