country_id,ISO3
498,AFG
253,ALB
226,DZA
194,ASM
215,AND
343,AGO
971,AIA
17,ATG
273,ARG
488,ARM
590,ABW
70,AUS
911,AUT
818,AZE
344,BHS
874,BHR
489,BGD
924,BRB
582,BLR
716,BEL
313,BLZ
106,BEN
554,BTN
466,BOL
883,BIH
411,BWA
349,BRA
632,VGB
568,BRN
167,BGR
188,BFA
506,BDI
394,CPV
934,KHM
525,CMR
257,CAN
929,CYM
379,CAF
667,TCD
398,CHL
728,HKG
929,MAC
100,CHN
830,COL
942,COM
560,COD
874,COG
559,COK
173,CRI
91,HRV
782,CUB
644,CYP
820,CZE
725,DNK
725,DJI
281,DMA
63,DOM
22,ECU
499,EGY
838,SLV
387,GNQ
815,ERI
763,EST
79,SWZ
200,ETH
955,FLK
375,FRO
677,FJI
455,FIN
397,FRA
604,PYF
890,GAB
725,GMB
964,GEO
225,DEU
262,GHA
591,GIB
720,GRC
771,GRL
547,GRD
291,GLP
349,GTM
267,GIN
213,GNB
207,GUY
946,HTI
199,VAT
351,HND
26,HUN
851,ISL
575,IND
540,IDN
438,IRN
877,IRQ
552,IRL
337,IMN
683,ISR
459,ITA
610,JAM
913,JPN
58,JOR
899,KAZ
395,KEN
419,KIR
206,PRK
60,KOR
877,KWT
546,KGZ
718,LAO
153,LVA
357,LBN
421,LSO
949,LBR
806,LBY
777,LIE
299,LTU
328,LUX
774,MDG
296,MWI
110,MYS
503,MDV
31,MLI
750,MLT
197,MHL
96,MTQ
731,MRT
267,MUS
836,MYT
515,MEX
902,FSM
632,MDA
407,MCO
749,MNG
911,MNE
769,MSR
351,MAR
709,MOZ
497,MMR
990,NAM
683,NRU
438,NPL
736,NLD
417,NCL
493,NZL
878,NIC
145,NER
886,NGA
90,NIU
458,NFK
548,MKD
909,NOR
545,OMN
55,PAK
446,PLW
832,PAN
483,PNG
284,PRY
327,PER
613,PHL
234,PCN
939,POL
350,PRT
273,PRI
352,QAT
333,ROU
750,RUS
179,RWA
974,SHN
918,SPM
473,WSM
850,SMR
271,STP
713,SAU
116,SEN
108,SRB
342,SYC
135,SLE
162,SGP
709,SVK
938,SVN
199,SLB
819,SOM
202,ZAF
270,SSD
588,ESP
979,LKA
14,KNA
511,LCA
928,VCT
854,SDN
897,SUR
399,SWE
269,CHE
743,SYR
636,TWN
579,TJK
190,TZA
892,THA
360,TLS
128,TGO
918,TKL
902,TON
323,TTO
887,TUN
442,TKM
633,TCA
403,TUV
35,UGA
923,UKR
775,ARE
844,GBR
7,USA
151,VIR
637,URY
578,UZB
669,VUT
751,VEN
141,VNM
992,WLF
808,PSE
648,ESH
358,WLD
971,YEM
700,ZMB
534,ZWE
