country_id,indicator_name
507,Annual GDP growth (percent change)
101,Annual GDP growth (percent change)
581,Annual GDP growth (percent change)
283,Annual GDP growth (percent change)
383,Annual GDP growth (percent change)
492,Annual GDP growth (percent change)
214,Annual GDP growth (percent change)
944,Annual GDP growth (percent change)
686,Annual GDP growth (percent change)
145,Annual GDP growth (percent change)
907,Annual GDP growth (percent change)
736,Annual GDP growth (percent change)
201, Annual GDP growth (percent change)
768,Annual GDP growth (percent change)
286,Annual GDP growth (percent change)
377,Annual GDP growth (percent change)
4,Annual GDP growth (percent change)
587,Annual GDP growth (percent change)
360,Annual GDP growth (percent change)
473,Annual GDP growth (percent change)
259,Annual GDP growth (percent change)
694,Annual GDP growth (percent change)
263,Annual GDP growth (percent change)
713,Annual GDP growth (percent change)
108,Annual GDP growth (percent change)
5,Annual GDP growth (percent change)
574,Annual GDP growth (percent change)
467,Annual GDP growth (percent change)
312,Annual GDP growth (percent change)
549,Annual GDP growth (percent change)
366,Annual GDP growth (percent change)
239,Annual GDP growth (percent change)
443,Annual GDP growth (percent change)
560,Annual GDP growth (percent change)
689,Annual GDP growth (percent change)
367,Annual GDP growth (percent change)
441,Annual GDP growth (percent change)
181,Annual GDP growth (percent change)
640,Annual GDP growth (percent change)
135,Annual GDP growth (percent change)
366,Annual GDP growth (percent change)
169,Annual GDP growth (percent change)
815,Annual GDP growth (percent change)
966,Annual GDP growth (percent change)
172,Annual GDP growth (percent change)
79,Annual GDP growth (percent change)
604,Annual GDP growth (percent change)
175,Annual GDP growth (percent change)
683,Annual GDP growth (percent change)
848,Annual GDP growth (percent change)
852,Annual GDP growth (percent change)
646,Annual GDP growth (percent change)
531,Annual GDP growth (percent change)
217,Annual GDP growth (percent change)
641,Annual GDP growth (percent change)
426,Annual GDP growth (percent change)
625,Annual GDP growth (percent change)
19,Annual GDP growth (percent change)
208,Annual GDP growth (percent change)
68,Annual GDP growth (percent change)
52,Annual GDP growth (percent change)
157,Annual GDP growth (percent change)
469,Annual GDP growth (percent change)
183,Annual GDP growth (percent change)
708,Annual GDP growth (percent change)
858,Annual GDP growth (percent change)
195,Annual GDP growth (percent change)
145,Annual GDP growth (percent change)
294,Annual GDP growth (percent change)
932,Annual GDP growth (percent change)
72,Annual GDP growth (percent change)
517,Annual GDP growth (percent change)
500,Annual GDP growth (percent change)
84,Annual GDP growth (percent change)
767,Annual GDP growth (percent change)
837,Annual GDP growth (percent change)
997,Annual GDP growth (percent change)
346,Annual GDP growth (percent change)
312,Annual GDP growth (percent change)
472,Annual GDP growth (percent change)
902,Annual GDP growth (percent change)
824,Annual GDP growth (percent change)
665,Annual GDP growth (percent change)
91,Annual GDP growth (percent change)
831,Annual GDP growth (percent change)
894,Annual GDP growth (percent change)
480,Annual GDP growth (percent change)
485,Annual GDP growth (percent change)
567,Annual GDP growth (percent change)
484,Annual GDP growth (percent change)
24,Annual GDP growth (percent change)
499,Annual GDP growth (percent change)
392,Annual GDP growth (percent change)
743,Annual GDP growth (percent change)
140,Annual GDP growth (percent change)
751,Annual GDP growth (percent change)
41,Annual GDP growth (percent change)
646,Annual GDP growth (percent change)
360,Annual GDP growth (percent change)
