country_id,Rank
4320,36
1780,138
9773,34
7777,213
3715,203
8724,42
4316,224
4414,201
2062,33
5364,140
1738,198
9439,55
6565,99
6126,91
1685,176
5109,154
4323,8
7461,186
7245,96
3076,81
5943,177
4326,77
4525,206
4804,165
2073,80
6261,137
2068,144
3218,7
6971,221
6909,175
8549,108
2432,58
8092,78
7928,73
7964,53
6212,39
9392,171
4082,205
9663,117
2334,69
8878,65
6030,1
8141,28
2203,163
6291,223
3642,124
8894,130
8193,85
8765,158
8580,115
6491,160
9441,204
2479,84
6758,67
9973,14
9076,112
8329,152
1059,132
3765,156
6728,159
5962,12
6808,231
6415,209
6388,162
2050,118
8557,23
7672,184
3516,183
7366,146
1007,142
3188,131
8330,19
5325,47
1974,219
6134,90
3651,208
2595,193
1938,178
6644,191
4140,68
8572,75
2767,149
8587,164
1447,82
5175,89
6022,104
7942,94
5180,179
5836,2
8875,4
8948,17
3751,35
2659,125
1371,202
4528,98
5213,25
5408,139
3199,11
9813,83
1881,66
5491,27
5345,192
7632,129
7520,110
8798,103
1401,151
1950,119
1543,147
2394,121
6919,107
5225,216
7195,141
7430,168
5463,50
2737,62
3866,45
7863,174
3327,59
6015,173
8171,215
6012,180
1187,126
2728,157
7969,182
2067,10
7178,194
7671,135
4517,217
9607,134
6296,169
5843,230
8949,40
5197,48
1267,26
5513,145
1553,225
2949,49
5052,71
3404,185
5409,123
7486,106
9945,54
6085,6
8615,232
2374,56
2921,150
9402,210
4385,120
6524,127
2129,5
4738,222
9846,128
8409,93
7680,109
2251,44
7156,13
9621,37
3009,92
2797,136
1967,143
1032,64
3205,9
9829,76
8772,228
6124,190
3837,220
6760,188
5938,218
5612,41
2877,72
5501,105
6297,196
4811,102
1610,113
9271,214
5011,116
9604,148
7558,166
1618,70
7741,24
8459,29
4357,86
5454,30
6552,61
9312,32
3379,170
7327,87
1020,101
1179,60
5242,57
4029,95
4524,22
2545,20
7125,155
6517,100
2580,233
3291,197
2873,153
8253,79
9388,18
6199,111
4276,227
1786,31
6279,38
1486,97
9111,21
5672,3
6750,133
3040,43
8344,181
5607,51
4917,16
3509,172
9491,46
3764,63
8365,74
