country_id,date,value
507,1980-01-01,
101,1980-01-01,2.7
581,1980-01-01,-5.4
283,1980-01-01,
383,1980-01-01,2.4
492,1980-01-01,8.2
214,1980-01-01,0.7
944,1980-01-01,
686,1980-01-01,
145,1980-01-01,2.9
907,1980-01-01,2.3
736,1980-01-01,
201,1980-01-01,7.1
768,1980-01-01,7.5
286,1980-01-01,
377,1980-01-01,4.4
4,1980-01-01,
587,1980-01-01,4.4
360,1980-01-01,5.0
473,1980-01-01,9.3
259,1980-01-01,5.0
694,1980-01-01,0.6
263,1980-01-01,
713,1980-01-01,12.0
108,1980-01-01,9.2
5,1980-01-01,
574,1980-01-01,5.7
467,1980-01-01,4.0
312,1980-01-01,-6.8
549,1980-01-01,5.3
366,1980-01-01,
239,1980-01-01,9.9
443,1980-01-01,2.2
560,1980-01-01,-3.0
689,1980-01-01,-6.0
367,1980-01-01,7.9
441,1980-01-01,7.9
181,1980-01-01,4.4
640,1980-01-01,7.4
135,1980-01-01,2.4
366,1980-01-01,12.7
169,1980-01-01,0.8
815,1980-01-01,
966,1980-01-01,5.9
172,1980-01-01,
79,1980-01-01,5.2
604,1980-01-01,-0.5
175,1980-01-01,
683,1980-01-01,13.4
848,1980-01-01,8.0
852,1980-01-01,4.9
646,1980-01-01,3.4
531,1980-01-01,-8.6
217,1980-01-01,4.8
641,1980-01-01,
426,1980-01-01,
625,1980-01-01,-3.8
19,1980-01-01,4.0
208,1980-01-01,-1.7
68,1980-01-01,5.7
52,1980-01-01,1.8
157,1980-01-01,0.0
469,1980-01-01,0.7
183,1980-01-01,
708,1980-01-01,1.3
858,1980-01-01,0.5
195,1980-01-01,0.7
145,1980-01-01,15.1
294,1980-01-01,3.7
932,1980-01-01,2.6
72,1980-01-01,
517,1980-01-01,-2.1
500,1980-01-01,7.3
84,1980-01-01,0.6
767,1980-01-01,10.3
837,1980-01-01,0.2
997,1980-01-01,5.7
346,1980-01-01,5.3
312,1980-01-01,9.9
472,1980-01-01,-21.6
902,1980-01-01,
824,1980-01-01,2.9
