country_id,date,population
2050,1950-01-01,7480461
5181,1950-01-01,1252582
4586,1950-01-01,9019866
9350,1950-01-01,19032
9230,1950-01-01,6005
9448,1950-01-01,4478184
5604,1950-01-01,5017
8745,1950-01-01,45435
5231,1950-01-01,17017742
1972,1950-01-01,1385041
8217,1950-01-01,38797
7859,1950-01-01,8177167
5484,1950-01-01,6936440
2557,1950-01-01,3158966
3976,1950-01-01,81644
5160,1950-01-01,117149
3421,1950-01-01,39728535
8963,1950-01-01,210548
4288,1950-01-01,7906860
2934,1950-01-01,8617344
1945,1950-01-01,69116
5854,1950-01-01,2264452
5017,1950-01-01,37142
5833,1950-01-01,176367
8863,1950-01-01,3089843
2086,1950-01-01,2692907
6025,1950-01-01,413481
5643,1950-01-01,37189369
8750,1950-01-01,7358
1038,1950-01-01,48269
4114,1950-01-01,7157632
3270,1950-01-01,4213757
5785,1950-01-01,2254113
1475,1950-01-01,4380380
2910,1950-01-01,4315816
4227,1950-01-01,13743069
5564,1950-01-01,184999
1710,1950-01-01,6912
1420,1950-01-01,1436591
9053,1950-01-01,2512688
8151,1950-01-01,6623645
4783,1950-01-01,543979233
8433,1950-01-01,11769748
2225,1950-01-01,161814
1998,1950-01-01,14683
5481,1950-01-01,948487
9225,1950-01-01,3864691
5830,1950-01-01,5926645
5520,1950-01-01,493956
9936,1950-01-01,4267694
8382,1950-01-01,62334
1484,1950-01-01,50188
4632,1950-01-01,2381740
8990,1950-01-01,3518733
5730,1950-01-01,21150058
8331,1950-01-01,2182409
5493,1950-01-01,226381
1933,1950-01-01,822576
4556,1950-01-01,1102078
2855,1950-01-01,271642
1077,1950-01-01,17709951
1812,1950-01-01,2191
8902,1950-01-01,31655
2666,1950-01-01,308308
8325,1950-01-01,4008289
2491,1950-01-01,41842355
6137,1950-01-01,23398
1540,1950-01-01,64535
9323,1950-01-01,472905
1968,1950-01-01,306781
6192,1950-01-01,3517264
2447,1950-01-01,70964095
1680,1950-01-01,5077596
5059,1950-01-01,21402
7791,1950-01-01,7669099
9550,1950-01-01,23119
1866,1950-01-01,77020
1376,1950-01-01,215261
8106,1950-01-01,60991
8657,1950-01-01,3099869
9599,1950-01-01,2983557
5294,1950-01-01,543413
2843,1950-01-01,417719
6415,1950-01-01,3247231
1086,1950-01-01,1557932
7703,1950-01-01,1980524
9064,1950-01-01,9337714
7843,1950-01-01,142650
7159,1950-01-01,357021100
3993,1950-01-01,69567619
7987,1950-01-01,16832834
3959,1950-01-01,5656471
7100,1950-01-01,2906599
3808,1950-01-01,54813
9089,1950-01-01,1284157
5288,1950-01-01,46391938
6674,1950-01-01,1407470
6552,1950-01-01,84353049
4363,1950-01-01,438386
4450,1950-01-01,6655675
3754,1950-01-01,5774050
5939,1950-01-01,37846
5927,1950-01-01,153738
8847,1950-01-01,1751225
1313,1950-01-01,1684674
3111,1950-01-01,1922525
1899,1950-01-01,1349588
1612,1950-01-01,579470
9882,1950-01-01,915894
9669,1950-01-01,1130677
3125,1950-01-01,13765
9898,1950-01-01,2564798
7830,1950-01-01,296584
3497,1950-01-01,3953896
3592,1950-01-01,2949739
6262,1950-01-01,5972876
2701,1950-01-01,74484
4228,1950-01-01,4694916
3964,1950-01-01,291873
8099,1950-01-01,13066
6596,1950-01-01,231994
2777,1950-01-01,658555
2792,1950-01-01,525443
6400,1950-01-01,20544
9800,1950-01-01,27600133
8489,1950-01-01,161656
1367,1950-01-01,2370311
2641,1950-01-01,19729
9877,1950-01-01,781260
1357,1950-01-01,402260
6446,1950-01-01,12989
3324,1950-01-01,8946209
9850,1950-01-01,5920215
7797,1950-01-01,17731818
2703,1950-01-01,514774
9288,1950-01-01,3354
3315,1950-01-01,8398945
7531,1950-01-01,10093554
5635,1950-01-01,63860
1811,1950-01-01,1911608
6130,1950-01-01,1330442
1507,1950-01-01,2569191
4777,1950-01-01,37189369
7875,1950-01-01,4485
4718,1950-01-01,11103379
6127,1950-01-01,1251433
1019,1950-01-01,7063
4283,1950-01-01,3281416
2939,1950-01-01,457317
5946,1950-01-01,37696264
7978,1950-01-01,7430
2232,1950-01-01,861079
6499,1950-01-01,1542854
8530,1950-01-01,1504810
2693,1950-01-01,7678967
1477,1950-01-01,18469878
7322,1950-01-01,24786236
4885,1950-01-01,8416952
7373,1950-01-01,2229742
3352,1950-01-01,24288
6771,1950-01-01,16392971
6070,1950-01-01,102580107
7426,1950-01-01,2154218
9065,1950-01-01,2007
9260,1950-01-01,86695
7092,1950-01-01,2978
3283,1950-01-01,87951
6251,1950-01-01,12963
7391,1950-01-01,3089693
5951,1950-01-01,2496065
1245,1950-01-01,6017683
3813,1950-01-01,38106
2946,1950-01-01,2000790
7069,1950-01-01,1006701
9088,1950-01-01,1458
3625,1950-01-01,3465617
5516,1950-01-01,1445033
9888,1950-01-01,105209
6544,1950-01-01,2213052
6951,1950-01-01,13043844
7514,1950-01-01,20104010
1955,1950-01-01,2492077
7526,1950-01-01,28069694
7632,1950-01-01,7945977
4452,1950-01-01,6191323
9954,1950-01-01,195765
9171,1950-01-01,7014610
9995,1950-01-01,4692639
9598,1950-01-01,3543537
1623,1950-01-01,7623130
8108,1950-01-01,1526140
5605,1950-01-01,7632399
3514,1950-01-01,20411638
8258,1950-01-01,414791
3763,1950-01-01,1398525
4810,1950-01-01,1599
7376,1950-01-01,49830
4402,1950-01-01,648616
2097,1950-01-01,3606288
3095,1950-01-01,20977697
6898,1950-01-01,1214096
6928,1950-01-01,4732
3793,1950-01-01,5750637
8670,1950-01-01,37302996
3348,1950-01-01,74591
8898,1950-01-01,50055065
8163,1950-01-01,148281550
8338,1950-01-01,2234144
7220,1950-01-01,6247550
9145,1950-01-01,51568
4005,1950-01-01,5488614
6369,1950-01-01,25109200
7483,1950-01-01,12982
7872,1950-01-01,4712810
9480,1950-01-01,2318448
2658,1950-01-01,2791326
2050,1955-01-01,7971931
5181,1955-01-01,1453730
4586,1955-01-01,10242288
9350,1955-01-01,19826
9230,1955-01-01,6116
9448,1955-01-01,4938118
5604,1955-01-01,5752
8745,1955-01-01,50264
5231,1955-01-01,18700686
1972,1955-01-01,1604376
8217,1955-01-01,46464
7859,1955-01-01,9209844
5484,1955-01-01,6946260
2557,1955-01-01,3550017
3976,1955-01-01,92444
5160,1955-01-01,134865
3421,1955-01-01,44315548
8963,1955-01-01,227320
4288,1955-01-01,7976356
2934,1955-01-01,8834526
1945,1955-01-01,79986
5854,1955-01-01,2360081
5017,1955-01-01,39136
5833,1955-01-01,196014
8863,1955-01-01,3357923
2086,1955-01-01,2958430
6025,1955-01-01,461880
5643,1955-01-01,40839223
8750,1955-01-01,7516
1038,1955-01-01,64267
4114,1955-01-01,7517922
3270,1955-01-01,4472824
5785,1955-01-01,2495193
1475,1955-01-01,4931224
2910,1955-01-01,4670538
4227,1955-01-01,15733923
5564,1955-01-01,195389
1710,1955-01-01,8129
1420,1955-01-01,1545898
9053,1955-01-01,2756169
8151,1955-01-01,7323194
4783,1955-01-01,603320147
8433,1955-01-01,13512612
2225,1955-01-01,177885
1998,1955-01-01,16129
5481,1955-01-01,1123982
9225,1955-01-01,4049659
5830,1955-01-01,6559586
5520,1955-01-01,534125
9936,1955-01-01,4426508
8382,1955-01-01,72997
1484,1955-01-01,51895
4632,1955-01-01,2791108
8990,1955-01-01,4022378
5730,1955-01-01,23841701
8331,1955-01-01,2448633
5493,1955-01-01,245800
1933,1955-01-01,895009
4556,1955-01-01,1168276
2855,1955-01-01,307078
1077,1955-01-01,19703738
1812,1955-01-01,2187
8902,1955-01-01,32127
2666,1955-01-01,343693
8325,1955-01-01,4235413
2491,1955-01-01,43593851
6137,1955-01-01,25456
1540,1955-01-01,74475
9323,1955-01-01,489459
1968,1955-01-01,349374
6192,1955-01-01,3738231
2447,1955-01-01,71222628
1680,1955-01-01,5887163
5059,1955-01-01,21541
7791,1955-01-01,8146022
9550,1955-01-01,26295
1866,1955-01-01,82656
1376,1955-01-01,242576
8106,1955-01-01,65977
8657,1955-01-01,3560239
9599,1955-01-01,3234056
5294,1955-01-01,563713
2843,1955-01-01,483316
6415,1955-01-01,3545999
1086,1955-01-01,1796527
7703,1955-01-01,2490487
9064,1955-01-01,9823331
7843,1955-01-01,157735
7159,1955-01-01,398577992
3993,1955-01-01,77741502
7987,1955-01-01,18873864
3959,1955-01-01,6405686
7100,1955-01-01,2886368
3808,1955-01-01,52283
9089,1955-01-01,1564960
5288,1955-01-01,48130728
6674,1955-01-01,1552883
6552,1955-01-01,90090281
