country_id,date,population,country_id_hash
2050,1950-01-01,7480461,82099438
5181,1950-01-01,1252582,26100560
4586,1950-01-01,9019866,88531968
9350,1950-01-01,19032,10425951
9230,1950-01-01,6005,64265922
9448,1950-01-01,4478184,82060110
5604,1950-01-01,5017,91506655
8745,1950-01-01,45435,4535054
5231,1950-01-01,17017742,40732059
1972,1950-01-01,1385041,93738957
8217,1950-01-01,38797,60617172
7859,1950-01-01,8177167,59491633
5484,1950-01-01,6936440,52291310
2557,1950-01-01,3158966,98711688
3976,1950-01-01,81644,56453427
5160,1950-01-01,117149,80217975
3421,1950-01-01,39728535,42680327
8963,1950-01-01,210548,68313405
4288,1950-01-01,7906860,79052619
2934,1950-01-01,8617344,80959
1945,1950-01-01,69116,47222930
5854,1950-01-01,2264452,12930379
5017,1950-01-01,37142,85701576
5833,1950-01-01,176367,21650059
8863,1950-01-01,3089843,8178979
2086,1950-01-01,2692907,33289842
6025,1950-01-01,413481,33681694
5643,1950-01-01,37189369,50976533
8750,1950-01-01,7358,9951496
1038,1950-01-01,48269,27446300
4114,1950-01-01,7157632,77504937
3270,1950-01-01,4213757,68944829
5785,1950-01-01,2254113,81655156
1475,1950-01-01,4380380,52106740
2910,1950-01-01,4315816,10540412
4227,1950-01-01,13743069,72666860
5564,1950-01-01,184999,35433607
1710,1950-01-01,6912,667325
1420,1950-01-01,1436591,26243078
9053,1950-01-01,2512688,97319789
8151,1950-01-01,6623645,39935936
4783,1950-01-01,543979233,31599265
8433,1950-01-01,11769748,30776375
2225,1950-01-01,161814,90211785
1998,1950-01-01,14683,55168376
5481,1950-01-01,948487,82479466
9225,1950-01-01,3864691,7094523
5830,1950-01-01,5926645,3314720
5520,1950-01-01,493956,88666182
9936,1950-01-01,4267694,11777277
8382,1950-01-01,62334,25239866
1484,1950-01-01,50188,17232522
4632,1950-01-01,2381740,18394308
8990,1950-01-01,3518733,78290769
5730,1950-01-01,21150058,60387048
8331,1950-01-01,2182409,19450374
5493,1950-01-01,226381,76654775
1933,1950-01-01,822576,62208073
4556,1950-01-01,1102078,76324049
2855,1950-01-01,271642,37223699
1077,1950-01-01,17709951,17010357
1812,1950-01-01,2191,12728354
8902,1950-01-01,31655,99789118
2666,1950-01-01,308308,52107209
8325,1950-01-01,4008289,98648627
2491,1950-01-01,41842355,11799999
6137,1950-01-01,23398,15305068
1540,1950-01-01,64535,33477232
9323,1950-01-01,472905,26015852
1968,1950-01-01,306781,18307709
6192,1950-01-01,3517264,55512115
2447,1950-01-01,70964095,53674746
1680,1950-01-01,5077596,1084582
5059,1950-01-01,21402,43518251
7791,1950-01-01,7669099,77023562
9550,1950-01-01,23119,58937713
1866,1950-01-01,77020,82422330
1376,1950-01-01,215261,82529388
8106,1950-01-01,60991,86045229
8657,1950-01-01,3099869,20945365
9599,1950-01-01,2983557,95923490
5294,1950-01-01,543413,9208023
2843,1950-01-01,417719,78027550
6415,1950-01-01,3247231,34054767
1086,1950-01-01,1557932,54768852
7703,1950-01-01,1980524,29510498
9064,1950-01-01,9337714,36662877
7843,1950-01-01,142650,67436522
7159,1950-01-01,357021100,21648065
3993,1950-01-01,69567619,92838403
7987,1950-01-01,16832834,96306083
3959,1950-01-01,5656471,77675519
7100,1950-01-01,2906599,66414785
3808,1950-01-01,54813,93294090
9089,1950-01-01,1284157,80718860
5288,1950-01-01,46391938,73216586
6674,1950-01-01,1407470,93222457
6552,1950-01-01,84353049,81642360
4363,1950-01-01,438386,37592621
4450,1950-01-01,6655675,85666628
3754,1950-01-01,5774050,11037852
5939,1950-01-01,37846,54204960
5927,1950-01-01,153738,59370545
8847,1950-01-01,1751225,49652934
1313,1950-01-01,1684674,28197956
3111,1950-01-01,1922525,18661921
1899,1950-01-01,1349588,49003518
1612,1950-01-01,579470,34734422
9882,1950-01-01,915894,41788389
9669,1950-01-01,1130677,64334328
3125,1950-01-01,13765,97262456
9898,1950-01-01,2564798,96392049
7830,1950-01-01,296584,57651871
3497,1950-01-01,3953896,55401267
