country_name,Capital,Continent,Area (km²),country_id
Afghanistan,Kabul,Asia,652230,1
Albania,Tirana,Europe,28748,2
Algeria,Algiers,Africa,2381741,3
Andorra,Andorra la Vella,Europe,468,5
Angola,Luanda,Africa,1246700,6
Antigua and Barbuda,Saint John’s,North America,442,8
Argentina,Buenos Aires,South America,2780400,9
Armenia,Yerevan,Asia,29743,10
Aruba,Oranjestad,North America,180,11
Australia,Canberra,Oceania,7692024,12
Austria,Vienna,Europe,83871,13
Azerbaijan,Baku,Asia,86600,14
Bahrain,Manama,Asia,765,16
Bangladesh,Dhaka,Asia,147570,17
Barbados,Bridgetown,North America,430,18
Belarus,Minsk,Europe,207600,19
Belgium,Brussels,Europe,30528,20
Belize,Belmopan,North America,22966,21
Benin,Porto-Novo,Africa,112622,22
Bhutan,Thimphu,Asia,38394,24
Bolivia,Sucre,South America,1098581,25
Bosnia and Herzegovina,Sarajevo,Europe,51209,26
Botswana,Gaborone,Africa,582000,27
Brazil,Brasilia,South America,8515767,28
Bulgaria,Sofia,Europe,110879,31
Burkina Faso,Ouagadougou,Africa,272967,32
Burundi,Bujumbura,Africa,27834,33
Cambodia,Phnom Penh,Asia,181035,34
Cameroon,Yaounde,Africa,475442,35
Canada,Ottawa,North America,9984670,36
Central African Republic,Bangui,Africa,622984,39
Chad,N'Djamena,Africa,1284000,40
Chile,Santiago,South America,756102,41
Colombia,Bogota,South America,1141748,43
Comoros,Moroni,Africa,1862,44
Costa Rica,San José,North America,51100,46
Croatia,Zagreb,Europe,56594,47
Cyprus,Nicosia,Europe,9251,49
Denmark,Copenhagen,Europe,43094,50
Djibouti,Djibouti,Africa,23200,51
Dominica,Roseau,North America,751,52
Dominican Republic,Santo Domingo,North America,48671,53
Ecuador,Quito,South America,276841,54
Egypt,Cairo,Africa,1002450,55
El Salvador,San Salvador,North America,21041,56
Equatorial Guinea,Malabo,Africa,28051,57
Eritrea,Asmara,Africa,117600,58
Estonia,Tallinn,Europe,45227,59
Eswatini,Mbabane,Africa,17364,60
Ethiopia,Addis Ababa,Africa,1104300,61
Fiji,Suva,Oceania,18272,64
Finland,Helsinki,Europe,338424,65
France,Paris,Europe,551695,66
Gabon,Libreville,Africa,267668,69
Georgia,Tbilisi,Asia,69700,71
Germany,Berlin,Europe,357114,72
Ghana,Accra,Africa,238533,73
Greece,Athens,Europe,131990,75
Grenada,Saint George's,North America,344,77
Guatemala,Guatemala City,North America,108889,80
Guinea,Conakry,Africa,245857,81
Guinea-Bissau,Bissau,Africa,36125,82
Guyana,Georgetown,South America,214969,83
Haiti,Port-au-Prince,North America,27750,84
Honduras,Tegucigalpa,North America,112492,85
Hungary,Budapest,Europe,93028,87
Iceland,Reykjavík,Europe,103000,88
India,New Delhi,Asia,3287590,89
Indonesia,Jakarta,Asia,1904569,90
Iran,Tehran,Asia,1648195,91
Iraq,Baghdad,Asia,438317,92
Ireland,Dublin,Europe,70273,93
Israel,Jerusalem,Asia,20770,95
