country,country_id
Afghanistan,1
Albania,2
Algeria,3
American Samoa,4
Andorra,5
Angola,6
Anguilla,7
Antigua and Barbuda,8
Argentina,9
Armenia,10
Aruba,11
Australia,12
Austria,13
Azerbaijan,14
Bahamas,15
Bahrain,16
Bangladesh,17
Barbados,18
Belarus,19
Belgium,20
Belize,21
Benin,22
Bermuda,23
Bhutan,24
Bolivia,25
Bosnia and Herzegovina,26
Botswana,27
Brazil,28
British Virgin Islands,29
Brunei,30
Bulgaria,31
Burkina Faso,32
Burundi,33
Cambodia,34
Cameroon,35
Canada,36
Cape Verde,37
Cayman Islands,38
Central African Republic,39
Chad,40
Chile,41
China,42
Colombia,43
Comoros,44
Cook Islands,45
Costa Rica,46
Croatia,47
Cuba,48
Cyprus,49
Denmark,50
Djibouti,51
Dominica,52
Dominican Republic,53
Ecuador,54
Egypt,55
El Salvador,56
Equatorial Guinea,57
Eritrea,58
Estonia,59
Eswatini,60
Ethiopia,61
Falkland Islands,62
Faroe Islands,63
Fiji,64
Finland,65
France,66
French Guiana,67
French Polynesia,68
Gabon,69
Gambia,70
Georgia,71
Germany,72
Ghana,73
Gibraltar,74
Greece,75
Greenland,76
Grenada,77
Guadeloupe,78
Guam,79
Guatemala,80
Guinea,81
Guinea-Bissau,82
Guyana,83
Haiti,84
Honduras,85
Hong Kong,86
Hungary,87
Iceland,88
India,89
Indonesia,90
Iran,91
Iraq,92
Ireland,93
Isle of Man,94
Israel,95
Italy,96
Jamaica,97
Japan,98
Jordan,99
Kazakhstan,100
Kenya,101
Kiribati,102
Kuwait,103
Kyrgyzstan,104
Laos,105
Latvia,106
Lebanon,107
Lesotho,108
Liberia,109
Libya,110
Liechtenstein,111
Lithuania,112
Luxembourg,113
Madagascar,114
Malawi,115
Malaysia,116
Maldives,117
Mali,118
Malta,119
Marshall Islands,120
Martinique,121
Mauritania,122
Mauritius,123
Mayotte,124
Mexico,125
Micronesia,126
Moldova,127
Monaco,128
Mongolia,129
Montenegro,130
Montserrat,131
Morocco,132
Mozambique,133
Myanmar,134
Namibia,135
Nauru,136
Nepal,137
Netherlands,138
New Caledonia,139
New Zealand,140
Nicaragua,141
Niger,142
Nigeria,143
Niue,144
North Korea,145
North Macedonia,146
Northern Mariana Islands,147
Norway,148
Oman,149
Pakistan,150
Palau,151
Panama,152
Papua New Guinea,153
Paraguay,154
Peru,155
Philippines,156
Poland,157
Portugal,158
Puerto Rico,159
Qatar,160
Romania,161
Russia,162
Rwanda,163
Saint Barthelemy,164
Saint Lucia,165
Saint Martin,166
Samoa,167
San Marino,168
Saudi Arabia,169
Senegal,170
Serbia,171
Seychelles,172
Sierra Leone,173
Singapore,174
Sint Maarten,175
Slovakia,176
Slovenia,177
Solomon Islands,178
Somalia,179
South Africa,180
South Korea,181
South Sudan,182
Spain,183
Sri Lanka,184
Sudan,185
Suriname,186
Sweden,187
Switzerland,188
Syria,189
Taiwan,190
Tajikistan,191
Tanzania,192
Thailand,193
Timor-Leste,194
Togo,195
Tokelau,196
Tonga,197
Trinidad and Tobago,198
Tunisia,199
Turkey,200
Turkmenistan,201
Tuvalu,202
Uganda,203
Ukraine,204
United Arab Emirates,205
United Kingdom,206
United States,207
Uruguay,208
Uzbekistan,209
Vanuatu,210
Venezuela,211
Vietnam,212
Western Sahara,213
Yemen,214
Zambia,215
Zimbabwe,216
