country_id,country
2050,Afghanistan
5181,Albania
4586,Algeria
9350,American Samoa
9230,Andorra
9448,Angola
5604,Anguilla
8745,Antigua and Barbuda
5231,Argentina
1972,Armenia
8217,Aruba
7859,Australia
5484,Austria
2557,Azerbaijan
3976,Bahamas
5160,Bahrain
3421,Bangladesh
8963,Barbados
4288,Belarus
2934,Belgium
1945,Belize
5854,Benin
5017,Bermuda
5833,Bhutan
8863,Bolivia
2086,Bosnia and Herzegovina
6025,Botswana
5643,Brazil
8750,British Virgin Islands
1038,Brunei
4114,Bulgaria
3270,Burkina Faso
5785,Burundi
1475,Cambodia
2910,Cameroon
4227,Canada
5564,Cape Verde
1710,Cayman Islands
1420,Central African Republic
9053,Chad
8151,Chile
4783,China
8433,Colombia
2225,Comoros
1998,Cook Islands
5481,Costa Rica
9225,Croatia
5830,Cuba
5520,Cyprus
9936,Denmark
8382,Djibouti
1484,Dominica
4632,Dominican Republic
8990,Ecuador
5730,Egypt
8331,El Salvador
5493,Equatorial Guinea
1933,Eritrea
4556,Estonia
2855,Eswatini
1077,Ethiopia
1812,Falkland Islands
8902,Faroe Islands
2666,Fiji
8325,Finland
2491,France
6137,French Guiana
1540,French Polynesia
9323,Gabon
1968,Gambia
6192,Georgia
2447,Germany
1680,Ghana
5059,Gibraltar
7791,Greece
9550,Greenland
1866,Grenada
1376,Guadeloupe
8106,Guam
8657,Guatemala
9599,Guinea
5294,Guinea-Bissau
2843,Guyana
6415,Haiti
1086,Honduras
7703,Hong Kong
9064,Hungary
7843,Iceland
7159,India
3993,Indonesia
7987,Iran
3959,Iraq
7100,Ireland
3808,Isle of Man
9089,Israel
5288,Italy
6674,Jamaica
6552,Japan
4363,Jordan
4450,Qazaqstan
3754,Kenya
5939,Kiribati
5927,Kuwait
8847,Kyrgyzstan
1313,Laos
3111,Latvia
1899,Lebanon
1612,Lesotho
9882,Liberia
9669,Libya
3125,Liechtenstein
9898,Lithuania
7830,Luxembourg
3497,Madagascar
3592,Malawi
6262,Malaysia
2701,Maldives
4228,Mali
3964,Malta
8099,Marshall Islands
6596,Martinique
2777,Mauritania
2792,Mauritius
6400,Mayotte
9800,Mexico
8489,Micronesia
1367,Moldova
2641,Monaco
9877,Mongolia
1357,Montenegro
6446,Montserrat
3324,Morocco
9850,Mozambique
7797,Myanmar
2703,Namibia
9288,Nauru
3315,Nepal
7531,Netherlands
5635,New Caledonia
1811,New Zealand
6130,Nicaragua
1507,Niger
4777,Nigeria
7875,Niue
4718,North Korea
6127,North Macedonia
1019,Northern Mariana Islands
4283,Norway
2939,Oman
5946,Pakistan
7978,Palau
2232,Panama
6499,Papua New Guinea
8530,Paraguay
2693,Peru
1477,Philippines
7322,Poland
4885,Portugal
7373,Puerto Rico
3352,Qatar
6771,Romania
6070,Russia
7426,Rwanda
9065,Saint Barthelemy
9260,Saint Lucia
7092,Saint Martin
3283,Samoa
6251,San Marino
7391,Saudi Arabia
5951,Senegal
1245,Serbia
3813,Seychelles
2946,Sierra Leone
7069,Singapore
9088,Sint Maarten
3625,Slovakia
5516,Slovenia
9888,Solomon Islands
6544,Somalia
6951,South Africa
7514,South Korea
1955,South Sudan
7526,Spain
7632,Sri Lanka
4452,Sudan
9954,Suriname
9171,Sweden
9995,Switzerland
9598,Syria
1623,Taiwan
8108,Tajikistan
5605,Tanzania
3514,Thailand
8258,Timor-Leste
3763,Togo
4810,Tokelau
7376,Tonga
4402,Trinidad and Tobago
2097,Tunisia
3095,Turkey
6898,Turkmenistan
6928,Tuvalu
3793,Uganda
8670,Ukraine
3348,United Arab Emirates
8898,United Kingdom
8163,United States
8338,Uruguay
7220,Uzbekistan
9145,Vanuatu
4005,Venezuela
6369,Vietnam
7483,Western Sahara
7872,Yemen
9480,Zambia
2658,Zimbabwe
