country_id,Rank
2050,36
5181,138
4586,34
9350,213
9230,203
9448,42
5604,224
8745,201
5231,33
1972,140
8217,198
7859,55
5484,99
2557,91
3976,176
5160,154
3421,8
8963,186
4288,96
2934,81
1945,177
5854,77
5017,206
5833,165
8863,80
2086,137
6025,144
5643,7
8750,221
1038,175
4114,108
3270,58
5785,78
1475,73
2910,53
4227,39
5564,171
1710,205
1420,117
9053,69
8151,65
4783,1
8433,28
2225,163
1998,223
5481,124
9225,130
5830,85
5520,158
9936,115
8382,160
1484,204
4632,84
8990,67
5730,14
8331,112
5493,152
1933,132
4556,156
2855,159
1077,12
1812,231
8902,209
2666,162
8325,118
2491,23
6137,184
1540,183
9323,146
1968,142
6192,131
2447,19
1680,47
5059,219
7791,90
9550,208
1866,193
1376,178
8106,191
8657,68
9599,75
5294,149
2843,164
6415,82
1086,89
7703,104
9064,94
7843,179
7159,2
3993,4
7987,17
3959,35
7100,125
3808,202
9089,98
5288,25
6674,139
6552,11
4363,83
4450,66
3754,27
5939,192
5927,129
8847,110
1313,103
3111,151
1899,119
1612,147
9882,121
9669,107
3125,216
9898,141
7830,168
3497,50
3592,62
6262,45
2701,174
4228,59
3964,173
8099,215
6596,180
2777,126
2792,157
6400,182
9800,10
8489,194
1367,135
2641,217
9877,134
1357,169
6446,230
3324,40
9850,48
7797,26
2703,145
9288,225
3315,49
7531,71
5635,185
1811,123
6130,106
1507,54
4777,6
7875,232
4718,56
6127,150
1019,210
4283,120
2939,127
5946,5
7978,222
2232,128
6499,93
8530,109
2693,44
1477,13
7322,37
4885,92
7373,136
3352,143
6771,64
6070,9
7426,76
9065,228
9260,190
7092,220
3283,188
6251,218
7391,41
5951,72
1245,105
3813,196
2946,102
7069,113
9088,214
3625,116
5516,148
9888,166
6544,70
6951,24
7514,29
1955,86
7526,30
7632,61
4452,32
9954,170
9171,87
9995,101
9598,60
1623,57
8108,95
5605,22
3514,20
8258,155
3763,100
4810,233
7376,197
4402,153
2097,79
3095,18
6898,111
6928,227
3793,31
8670,38
3348,97
8898,21
8163,3
8338,133
7220,43
9145,181
4005,51
6369,16
7483,172
7872,46
9480,63
2658,74
