country_id,Capital,start,end,current
2050,Kabul,01.01.1900,31.12.9999,1
5181,Tirana,01.01.1900,31.12.9999,1
4586,Algiers,01.01.1900,31.12.9999,1
9350,Pago Pago,01.01.1900,31.12.9999,1
9230,Andorra la Vella,01.01.1900,31.12.9999,1
9448,Luanda,01.01.1900,31.12.9999,1
5604,The Valley,01.01.1900,31.12.9999,1
8745,Saint John’s,01.01.1900,31.12.9999,1
5231,Buenos Aires,01.01.1900,31.12.9999,1
1972,Yerevan,01.01.1900,31.12.9999,1
8217,Oranjestad,01.01.1900,31.12.9999,1
7859,Canberra,01.01.1900,31.12.9999,1
5484,Vienna,01.01.1900,31.12.9999,1
2557,Baku,01.01.1900,31.12.9999,1
3976,Nassau,01.01.1900,31.12.9999,1
5160,Manama,01.01.1900,31.12.9999,1
3421,Dhaka,01.01.1900,31.12.9999,1
8963,Bridgetown,01.01.1900,31.12.9999,1
4288,Minsk,01.01.1900,31.12.9999,1
2934,Brussels,01.01.1900,31.12.9999,1
1945,Belmopan,01.01.1900,31.12.9999,1
5854,Porto-Novo,01.01.1900,31.12.9999,1
5017,Hamilton,01.01.1900,31.12.9999,1
5833,Thimphu,01.01.1900,31.12.9999,1
8863,Sucre,01.01.1900,31.12.9999,1
2086,Sarajevo,01.01.1900,31.12.9999,1
6025,Gaborone,01.01.1900,31.12.9999,1
5643,Brasilia,01.01.1900,31.12.9999,1
8750,Road Town,01.01.1900,31.12.9999,1
1038,Bandar Seri Begawan,01.01.1900,31.12.9999,1
4114,Sofia,01.01.1900,31.12.9999,1
3270,Ouagadougou,01.01.1900,31.12.9999,1
5785,Bujumbura,01.01.1900,31.12.9999,1
1475,Phnom Penh,01.01.1900,31.12.9999,1
2910,Yaounde,01.01.1900,31.12.9999,1
4227,Ottawa,01.01.1900,31.12.9999,1
5564,Praia,01.01.1900,31.12.9999,1
1710,George Town,01.01.1900,31.12.9999,1
1420,Bangui,01.01.1900,31.12.9999,1
9053,N'Djamena,01.01.1900,31.12.9999,1
8151,Santiago,01.01.1900,31.12.9999,1
4783,Beijing,01.01.1900,31.12.9999,1
8433,Bogota,01.01.1900,31.12.9999,1
2225,Moroni,01.01.1900,31.12.9999,1
1998,Avarua,01.01.1900,31.12.9999,1
5481,San José,01.01.1900,31.12.9999,1
9225,Zagreb,01.01.1900,31.12.9999,1
5830,Havana,01.01.1900,31.12.9999,1
5520,Nicosia,01.01.1900,31.12.9999,1
9936,Copenhagen,01.01.1900,31.12.9999,1
8382,Djibouti,01.01.1900,31.12.9999,1
1484,Roseau,01.01.1900,31.12.9999,1
4632,Santo Domingo,01.01.1900,31.12.9999,1
8990,Quito,01.01.1900,31.12.9999,1
5730,Cairo,01.01.1900,31.12.9999,1
8331,San Salvador,01.01.1900,31.12.9999,1
5493,Malabo,01.01.1900,31.12.9999,1
1933,Asmara,01.01.1900,31.12.9999,1
4556,Tallinn,01.01.1900,31.12.9999,1
2855,Mbabane,01.01.1900,31.12.9999,1
1077,Addis Ababa,01.01.1900,31.12.9999,1
1812,Stanley,01.01.1900,31.12.9999,1
8902,Tórshavn,01.01.1900,31.12.9999,1
2666,Suva,01.01.1900,31.12.9999,1
8325,Helsinki,01.01.1900,31.12.9999,1
2491,Paris,01.01.1900,31.12.9999,1
6137,Cayenne,01.01.1900,31.12.9999,1
1540,Papeete,01.01.1900,31.12.9999,1
9323,Libreville,01.01.1900,31.12.9999,1
1968,Banjul,01.01.1900,31.12.9999,1
6192,Tbilisi,01.01.1900,31.12.9999,1
2447,Berlin,01.01.1900,31.12.9999,1
1680,Accra,01.01.1900,31.12.9999,1
5059,Gibraltar,01.01.1900,31.12.9999,1
7791,Athens,01.01.1900,31.12.9999,1
9550,Nuuk,01.01.1900,31.12.9999,1
1866,Saint George's,01.01.1900,31.12.9999,1
1376,Basse-Terre,01.01.1900,31.12.9999,1
8106,Hagåtña,01.01.1900,31.12.9999,1
8657,Guatemala City,01.01.1900,31.12.9999,1
9599,Conakry,01.01.1900,31.12.9999,1
5294,Bissau,01.01.1900,31.12.9999,1
2843,Georgetown,01.01.1900,31.12.9999,1
6415,Port-au-Prince,01.01.1900,31.12.9999,1
1086,Tegucigalpa,01.01.1900,31.12.9999,1
7703,Hong Kong,01.01.1900,31.12.9999,1
9064,Budapest,01.01.1900,31.12.9999,1
7843,Reykjavík,01.01.1900,31.12.9999,1
7159,New Delhi,01.01.1900,31.12.9999,1
3993,Jakarta,01.01.1900,31.12.9999,1
7987,Tehran,01.01.1900,31.12.9999,1
3959,Baghdad,01.01.1900,31.12.9999,1
7100,Dublin,01.01.1900,31.12.9999,1
3808,Douglas,01.01.1900,31.12.9999,1
9089,Jerusalem,01.01.1900,31.12.9999,1
5288,Rome,01.01.1900,31.12.9999,1
6674,Kingston,01.01.1900,31.12.9999,1
